ai.yavar.mavencl	copper-ai-android-sdk	0.0.1		N/A
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.10		d664ad71dfacd4e0dd1097746e5773db5881ebcb
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.10	jspc	c5d4f2fefa152ed3b60bee8cd959e3d1004cc232
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.11		24c78a18f054fcd1f9ea493e49f4810efee1367d
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.11	jspc	2a3a2da7b73a6a69f881b125a0453068e85909fc
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.12		29778ecc8aedde8f62fdfe89c82fab1bed839693
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.12	jspc	8f71c498618289f8de08222b0595538fb0e005df
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.13		65fee0ac04982bf187a12fc52601731b556fd9b8
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.13	jspc	0197780cb3ae8b6b39ada08917f51d903d0eb464
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.14		cd6af619aee6bb328cdd71f66ac26c314e27c19e
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.14	jspc	f54686762719d7996119437a013fd5285354d665
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.2		0941f84a2b639385ae6c559c75db1411f0475491
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.2	jspc	f1fab65ac01d8abf9fdd1d470a1137a7d7ba7001
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.3		5eb80e9c57abd5ffe8320b514298cd31c4532a60
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.3	jspc	21f395abefe0a0f4ab6cf8dfe6b0a1a4b4457e8e
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.4		fcea3e9df22d08bcf85aef0af7e67eb657a182f7
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.4	jspc	4df3e98f48a33e013824d9d1ca33b7fe06eb6949
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.5		d811a611cb8c7e262b844325559c91e86c32dd88
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.5	jspc	3489bb0ff77718e9e46ca7b423ac6a37426983c1
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.6		401ffc9446bd45c483705c691c85dbee8e5d4547
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.6	jspc	74a4606cd15c36ac8038a9c847992be0e3b1e099
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.7		fed96037d3c749f5a8b59548c0455e6e52cd576f
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.7	jspc	d7bd6a760e1240b9c92e3f128794658af0db4f04
