com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.3		c9d67891e95c31eda173f10f96001d94f9854a0d
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.3-1-b7b4900a		1a6c12c3da9646bc2b5522abd37a9e05bc4cd2a5
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.3-5-e41aa313		042c04f6c426d4eeb2cdcfd7626551daef89b1ac
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4		bcfc150ba2b3c1ab6507e5449152ffa43677316b
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-11-4f5bf2aa		3e6fe827a8bb66c9e19335a61210b695337a8a4e
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-12-80e9cb33		4b831140ce34ee60cd03aa0983555a1efaf57f16
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-13-1ebd00a6		d86281bfa58eb7965fe087436994bea546476bf3
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-14-dc4c47bc		21c17b7456156d397292e7ed615e364c617b4a30
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-15-f4a8969b		1576097d72455ff51e0193c45e091239933d17da
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-16-7317286d		ce49db093a38243178859013d3f5482c5b9974df
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-19-cd76521f		8eae2babdf0c28a11d630df93730a53aa23646c4
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-2-71d100df		3b598d57b38c1afddd5e981578f034c84a216de4
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-20-4c4fabc9		b6f773735a174599f4697bcd68d1c7ffefe35a2b
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-21-f7e4c22e		ed09cd60aa5bee516cbe5014dfeba4e98ec3eb73
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-22-4a9e6989		9c099c7742f77eb5dcdf03293191a37301c2dad9
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-26-9cd15abe		a990eeee9ac34164a77250fac64b812d22e848e0
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-29-871e6900		52c25539d57a41bfdf80f1f2f91f3cccaeb04cd2
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-33-0af04a5b		182174cf5a4d52c7de1c7d1b816cdae1cf72824a
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-34-1c7b3c38		6c48bfb314ed05f8f01317c02a02bc967e812be5
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-35-ebdeebe4		0d29877d69e03f05063554c1fcf6499a363611dc
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-7-b48f40d3		6f8dda558d06813bc2ca2330f19e899a529b97e9
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.4-8-30448e49		8516eae14cc4acc6ceadfba522973742a64ba7cf
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5		917980d395ea5ca0498db00f483de0a6d7585c3e
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-10-82727958		2d2c0f0a807b4e633c15db7262eb35e626391ef5
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-11-626c15b0		8262a64ac82e746c6aa333b06862319b5e0dcd52
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-12-e1748830		44e72d2fbec07789b1aec6867bbea09177584c3c
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-15-277624cf		6df4b65f8872d00a6f194a5076ec308bf9259fed
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-16-8d71f4bb		e44407719c068cf36e12ec9c17ef667f6c6a8dc1
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-17-df243e14		ba01139555656fb6dda7b6363d1b870a7eb878d5
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.5-8-5a062268		e95aa1b93b0a3d0848e1c71f7597a961c2b3b72b
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.6		79cf0b1ec7f79244f66ab0d01602a95ccc7e1299
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.6-1-f8bff243		a1c28f195e9684f2414fe3b530327d047bc84f8a
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.6-3-279104dc		f8162ab7c4509e06970df77d8ceecc9d04024713
com.lihaoyi	ammonite-cross-3.0.2-runtime_2.13.7	2.5.6-4-4a07420b		8a47299d391cc3191b56a4067063e3f7a536d1ce
