de.otto.edison	edison-jobs-mongo	0.73.0		f2e0cee377ec0e28d8bacc1c3353b58e1f1ee447
de.otto.edison	edison-jobs-mongo	0.74.0		3c65c89ce8d299aac64b76e998ba21af2db0b24a
de.otto.edison	edison-jobs-mongo	0.75.0		634fbc0a3fd6358ffea1b985d24736cb0e0255e9
de.otto.edison	edison-jobs-mongo	0.76.0		856d383f340e1842994e7da0c57a2e4c805fe417
de.otto.edison	edison-jobs-mongo	0.76.1		8967b82ce61cf6890cc132a105d1c030795a32ba
de.otto.edison	edison-jobs-mongo	0.77.0		6b51eb2222ae2c8f46eed15974c3d150351d88d7
de.otto.edison	edison-jobs-mongo	0.78.0		d4915d23cbfc18ad6370759f8e7734e002da06ad
de.otto.edison	edison-jobs-mongo	0.79.0		a34c34f60322d610c50b8e56bfadb4e1ef68e02f
de.otto.edison	edison-jobs-mongo	0.79.1		4fc4b34814aa75fb9033b23da4b06f4ed3312347
de.otto.edison	edison-jobs-mongo	0.79.2		44f76ee099716087f18a315b9d92ad65201cd56c
de.otto.edison	edison-jobs-mongo	0.79.3		e6debe612a490a1205a46e810073a194e1377404
de.otto.edison	edison-jobs-mongo	0.80.0		99aba432ac0e3b38ba39b65688f25c449d5b78b8
de.otto.edison	edison-jobs-mongo	0.81.0		4d616c19d49472ce85ffb44eac86060a5e03b558
de.otto.edison	edison-jobs-mongo	0.82.1		4e8ab274ee0ba5fc0f3aa625fbe2846d8d542208
de.otto.edison	edison-jobs-mongo	0.82.2		d5cf4a9a8b03253e51255659c7d37eb18fff5c39
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.1		38b214fd063154377b80ccc6e15a168f98437dc5
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.10		8b781e9244b24bd5437134203079909d3cf986f4
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.11		6b4ee2cbc4c58d302e55f168b3735f50bee441ee
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.12		9dfd6236e75ebc9e5b56b8d6bc8cb89b78ffd6d9
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.13		1bd53c768838417dffc59443feececdcddc79dab
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.14		055fdb0a601f61cd9307fb8a1148902f6368e9f7
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.15		eb669b6e95e066a634ad37e64066602559b850f3
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.16		dff4ef5b6b706ba125fb0a5c04949d1db66ce340
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.17		e321032ba69814733fddd3644a2405bc568c3aa1
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.18		7559e0dc3add2ffe3f7706e3ddb26925095a9dd0
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.19		b02700336744f967d5070173f3479b4a6385f235
