au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests-container	2.0		e20ece2b79b69691463608cad682da248d5034c8
com.daml	jwt_2.12	1.12.0-snapshot.20210311.6490.0.8e25227c		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210312.6493.0.9a7e2465		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210312.6498.0.707c86aa		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210316.6523.0.b382fc45		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210317.6528.0.493e2154		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210323.6567.0.90c5ce70		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.12.0-snapshot.20210330.6619.0.007b8674		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.12.0-snapshot.20210330.6622.0.eef158d6		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.12.0-snapshot.20210331.6626.0.29a68134		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.12.0-snapshot.20210331.6634.0.b98a3881		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.12.0-snapshot.20210331.6640.0.4b807899		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.12.0-snapshot.20210406.6646.0.631db446		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.0		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.0-snapshot.20210413.6706.0.2dc09ba2		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.0-snapshot.20210419.6730.0.8c3a8c04		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.0-snapshot.20210426.6770.0.ca66061b		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.0-snapshot.20210503.6809.0.ca012c3b		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.0-snapshot.20210504.6833.0.9ae787d0		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.1		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.1-snapshot.20210512.6834.0.5f532380		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.13.1-snapshot.20210512.6834.1.5f532380		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210511.6892.0.ca9e89b3		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210518.6953.0.a6c7b86a		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210526.7024.0.aedb9a82		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210601.7081.0.7d716e6d		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210602.7086.0.f36f556b		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210615.7124.0.d1b54ff0		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.0-snapshot.20210615.7169.0.adeba206		19c23374d464f9e94a37eba5faee9916cf26974f
com.daml	jwt_2.12	1.14.1		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.1-snapshot.20210706.7133.0.8ec16e94		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.2		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.14.2-snapshot.20210708.7135.0.aa297840		4705c7fa5355cac15c7babb971471aa11905de3e
com.daml	jwt_2.12	1.15.0		19c23374d464f9e94a37eba5faee9916cf26974f
com.daml	jwt_2.12	1.15.0-snapshot.20210615.7169.0.adeba206		19c23374d464f9e94a37eba5faee9916cf26974f
com.daml	jwt_2.12	1.15.0-snapshot.20210623.7217.0.5b73813d		19c23374d464f9e94a37eba5faee9916cf26974f
com.daml	jwt_2.12	1.15.0-snapshot.20210630.7261.0.84e1f3a7		19c23374d464f9e94a37eba5faee9916cf26974f
com.daml	jwt_2.12	1.15.0-snapshot.20210705.7286.0.62aabcc4		19c23374d464f9e94a37eba5faee9916cf26974f
com.daml	jwt_2.12	1.16.0		87723ed02bcd4c2ccb957eb21cb7d0c29edcfc82
com.daml	jwt_2.12	1.16.0-snapshot.20210713.7343.0.1f35db17		87723ed02bcd4c2ccb957eb21cb7d0c29edcfc82
com.daml	jwt_2.12	1.16.0-snapshot.20210720.7404.0.b7cf42d1		87723ed02bcd4c2ccb957eb21cb7d0c29edcfc82
com.daml	jwt_2.12	1.16.0-snapshot.20210727.7476.0.b5e9d861		87723ed02bcd4c2ccb957eb21cb7d0c29edcfc82
com.daml	jwt_2.12	1.16.0-snapshot.20210802.7499.0.5157ad6d		87723ed02bcd4c2ccb957eb21cb7d0c29edcfc82
com.daml	jwt_2.12	1.16.0-snapshot.20210805.7501.0.48050ad7		87723ed02bcd4c2ccb957eb21cb7d0c29edcfc82
