com.farao-community.farao	gridcapa-cse-computation	1.40.0		f49b43efd8ed5438df246c3bb2e848631a69b92e
com.farao-community.farao	gridcapa-cse-computation	1.40.1		85b75404183de95276458e55a6cb08f6e341491d
com.farao-community.farao	gridcapa-cse-computation	1.41.0		928dc6c9fa2a86dffcba812038853c894c149c07
com.farao-community.farao	gridcapa-cse-computation	1.41.1		6c6e5cf9c162b09d20d6ceadf9fa68ecf036a5db
com.farao-community.farao	gridcapa-cse-computation	1.42.0		900f14825065aef2cb2ec78d5d2e205dab5fbf5e
com.farao-community.farao	gridcapa-cse-computation	1.43.0		5a4887a219b3da7840ae328addb67c7ed11cc0c8
com.farao-community.farao	gridcapa-cse-computation	1.5.0		b4e2ce634f56fc245e126259d14d2fb1f697599a
com.farao-community.farao	gridcapa-cse-computation	1.6.0		44132c2b5139eebf3de8614812aa874624c21339
com.farao-community.farao	gridcapa-cse-computation	1.6.1		f56f24406396d09a740c286285aa4925d8efc106
com.farao-community.farao	gridcapa-cse-computation	1.6.2		7d982652ddf3bf72cb289f2555ea1c31ec8a827e
com.farao-community.farao	gridcapa-cse-computation	1.7.0		4f180e16d7983cf1d13cc7e9e51b358876dc3b2a
com.farao-community.farao	gridcapa-cse-computation	1.7.1		ff4ce2c8220bb840158b81044eb3937b9ef6d537
com.farao-community.farao	gridcapa-cse-computation	1.7.2		354f50390d74480aabfb28f3b3879573ced6ec84
com.farao-community.farao	gridcapa-cse-computation	1.8.0		11395f5d65717b452977aa9d7b7c17e6cc48d3ec
com.farao-community.farao	gridcapa-cse-computation	1.8.1		ed694575a82e12f12b35b230ad1002f133cfe51f
com.farao-community.farao	gridcapa-cse-computation	1.9.0		8109473293a5cea1814c45e784403c57f5fe51b8
com.farao-community.farao	gridcapa-cse-computation	1.9.1		44eec073e649176e09f601f2e51032cfdb808a67
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.4.0		0acc20e0bbf7788ee23d3154198d6f31919823c4
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.4.1		649cfe96d91d7ff2bd0fc25a4a2e4cf0e3a7c0db
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.4.2		0141b73b22f9b90da9fc801357f39303ff7f458d
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.4.3		a63fe1316de9c7aee1d6fa21a15fe78af88bf245
