com.google.apis	google-api-services-adsense	v1.1-rev59-1.14.2-beta		7d652783aaf8f34cb106cf9f4984374858890e5b
com.google.apis	google-api-services-adsense	v1.1-rev61-1.13.2-beta		785e99472a06a68ee44bd669619d9ecb611156c0
com.google.apis	google-api-services-adsense	v1.1-rev61-1.14.2-beta		5d46b575ff56390570b642837394f6eda1e81fc6
com.google.apis	google-api-services-adsense	v1.1-rev62-1.13.2-beta		548a30eb4e40b1b62234a5e8c1496bda187d88cc
com.google.apis	google-api-services-adsense	v1.1-rev62-1.14.2-beta		31e9414263e6d4c90aaceab16e9444aa3d926862
com.google.apis	google-api-services-adsense	v1.1-rev63-1.13.2-beta		6008c6458f6c93dfe3aae50a30bc85ba05fde5c2
com.google.apis	google-api-services-adsense	v1.1-rev63-1.14.2-beta		2fa81f3303a0c0f875e4bc02a330ff7d70b9cd22
com.google.apis	google-api-services-adsense	v1.1-rev63-1.15.0-rc		f8814b196414d86322f9c89d2241ca820f54bce5
com.google.apis	google-api-services-adsense	v1.1-rev65-1.13.2-beta		99a6029016910af7d7045120d9b90b9399625590
com.google.apis	google-api-services-adsense	v1.1-rev65-1.14.2-beta		99bcf37dbbb5c67338195e83a1a5c7629ca8cf42
com.google.apis	google-api-services-adsense	v1.1-rev65-1.15.0-rc		78c1fe1fdb8e3fd75b83581bcc6528c333d5e723
com.google.apis	google-api-services-adsense	v1.1-rev66-1.13.2-beta		e0e8544e02d98607808080be60ef259e2e84ef85
com.google.apis	google-api-services-adsense	v1.1-rev66-1.14.2-beta		1c00afb4451165f912483eebf46b7a659c3bade0
com.google.apis	google-api-services-adsense	v1.1-rev66-1.15.0-rc		9c0bab673e87861f28f1b610b514b59b2c9bd56f
com.google.apis	google-api-services-adsense	v1.1-rev67-1.13.2-beta		6f644c516e70ffff793742a8e858bb0d1090bec3
com.google.apis	google-api-services-adsense	v1.1-rev67-1.14.2-beta		3a9590eba9968b982e2ee74547d8606c09188034
com.google.apis	google-api-services-adsense	v1.1-rev67-1.15.0-rc		8d0ff5de4c8f4c217fe943ae864ded1c7fc09ec6
com.google.apis	google-api-services-adsense	v1.1-rev68-1.13.2-beta		3b334ce62f35044a98a43d471893b97453acef11
com.google.apis	google-api-services-adsense	v1.1-rev68-1.14.2-beta		85d4229403d3509f1040875ae2fdb52ca89369ba
com.google.apis	google-api-services-adsense	v1.1-rev68-1.15.0-rc		1ab57b065ef09b0a5c55adc474bf5af33413b137
