com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220810.1204		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220812.0011		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220816.1807		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220817.2228		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220818.1550		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220819.1752		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220823.1600		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220823.1837		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220823.1846		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220824.1927		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220829.2237		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220830.2140		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220904.2203		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220905.2212		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220906.1131		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220906.2103		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220914.0042		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220919.1341		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220922.2023		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220927.0337		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220928.0528		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220928.1849		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20220930.1253		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20221003.1541		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20221006.0917		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20221020.1311		N/A
