com.vaadin	vaadin-details-flow	24.0.7		de5c977ddced55e0a809663bd120b98a84375f03
com.vaadin	vaadin-details-flow	24.0.8		ea7fdb5dfe36bd2ec350d9dc1cacbdf4d1c17f25
com.vaadin	vaadin-details-flow	24.0.9		41b16173f9de1f25553762a2ef6dccce75cab328
com.vaadin	vaadin-details-flow	24.1.0		964a8a896886a06f3053cbc372e44848388da5bd
com.vaadin	vaadin-details-flow	24.1.1		7f3533ff3e670c0579f2a10ef960745912817d1c
com.vaadin	vaadin-details-flow	24.1.10		6a4b91d33435cda4323efe763648d22729f19582
com.vaadin	vaadin-details-flow	24.1.11		a6b7aeb599764fe4ddb3cae609a0b4e7b7c77e54
com.vaadin	vaadin-details-flow	24.1.12		77dad0d56a62b534c37e37cded1f6e4825089ba8
com.vaadin	vaadin-details-flow	24.1.13		90966d4accaf59a2a5520273af9e7846e939f940
com.vaadin	vaadin-details-flow	24.1.14		e288b4a00ec7cb51f809b88eee656172ceec8922
com.vaadin	vaadin-details-flow	24.1.15		00c86636ba362b70cdd1b9d30a9a006acc79c597
com.vaadin	vaadin-details-flow	24.1.16		8a8478e09b0ce80852e15ec018966ee754495c3d
com.vaadin	vaadin-details-flow	24.1.2		9e77d5b46209e3c0232ab69cecc7ed516222f8a2
com.vaadin	vaadin-details-flow	24.1.3		b21fb36e95b61db45fbf7dc840a1ffd1bfdc8838
com.vaadin	vaadin-details-flow	24.1.4		e6b8453be4fe7df672d7a899bc74c12aef18e6e9
com.vaadin	vaadin-details-flow	24.1.5		c7e6b6d45793e0b17ce1429fe82e358582dfe9f7
com.vaadin	vaadin-details-flow	24.1.6		ba7356d5d60d908ace088fcd71cfcefae383fc9b
com.vaadin	vaadin-details-flow	24.1.7		f09aec88476558ebd69d41828f1ebe76ecd54420
com.vaadin	vaadin-details-flow	24.1.8		0ac47190362ae09000a22944c87e1a782b302a1d
com.vaadin	vaadin-details-flow	24.1.9		3bb42c1e5d4aba9ae92eb10a135f6374866bb396
com.vaadin	vaadin-details-flow	24.2.0		7283ae1e12a201166b545ce863c7abb8e92fcb35
com.vaadin	vaadin-details-flow	24.2.1		bf78b20aa2089023354a5f7cfa25670280a78489
com.vaadin	vaadin-details-flow	24.2.10		2876a82d44b3e2cba0ff9f4eb9681bb81ff4fd1c
com.vaadin	vaadin-details-flow	24.2.11		63a441237bdab86c77c548f418d9952885f6c730
com.vaadin	vaadin-details-flow	24.2.12		5c1ef95a0bc101e61c77d2f13a559e74363f6bdf
com.vaadin	vaadin-details-flow	24.2.2		dbca4d5a46f42ad5c89658fdcfeffd96cd44c055
com.vaadin	vaadin-details-flow	24.2.3		d0210902fafa84f03ca91819208188e7f0c25079
com.vaadin	vaadin-details-flow	24.2.4		9d2a6f6926aa95bda56648452776f2b0a88c1fb1
com.vaadin	vaadin-details-flow	24.2.5		a01520ec18e41930e7f415e9ad69b6e72073df40
com.vaadin	vaadin-details-flow	24.2.6		a908a0b6155f40ac2d812dff69f5b1282e63b3aa
com.vaadin	vaadin-details-flow	24.2.7		e548a2ad81d68038d4172eb480a7c5a909609665
com.vaadin	vaadin-details-flow	24.2.8		420f6f00f25741fd8634c51641f50705905f2c23
com.vaadin	vaadin-details-flow	24.2.9		bda8709906d6a90cbe4f2c7ec4b514ddc8d91fd1
com.vaadin	vaadin-details-flow	24.3.0		3f5e1badd7597b4dfc0347392d7380e662154f9d
com.vaadin	vaadin-details-flow	24.3.1		622f3dc4d4fab44eaf8020a09b5608e613969704
com.vaadin	vaadin-details-flow	24.3.10		f85e5920f6314cfaf1a606f4bb7496e19b282c4a
com.vaadin	vaadin-details-flow	24.3.11		bc3c7dc0c901bb17e44b68125b48a3eed5c4e518
com.vaadin	vaadin-details-flow	24.3.12		a9289b40f5928d1f62d0299408f793cfeee700a2
com.vaadin	vaadin-details-flow	24.3.13		28239b6273afdab067efd61ff2a8f9438dffe214
com.vaadin	vaadin-details-flow	24.3.14		a8f7fab92b8354d43efe8cc6c7028586d9404227
com.vaadin	vaadin-details-flow	24.3.15		44f9b6b9a38663a5a141b1d40f0a3bc4208a5863
com.vaadin	vaadin-details-flow	24.3.16		e5e652f9c9068db9ec382af0dcdd4afee10e8d33
com.vaadin	vaadin-details-flow	24.3.17		58d094d97384774f94d35133cd3420a5516a6cce
com.vaadin	vaadin-details-flow	24.3.18		1425924b56d8b238b6d6d3c79ae0b3850e7a851c
com.vaadin	vaadin-details-flow	24.3.19		4746ae26c5bce658d57b3edec9280f15929036f5
com.vaadin	vaadin-details-flow	24.3.2		4ea40223ee257c976a98b990ee469c3eb21389d6
com.vaadin	vaadin-details-flow	24.3.20		0886aee72841134c11e2ffe98e143df7f8a66df7
com.vaadin	vaadin-details-flow	24.3.3		66982ec445f7249f6ea2a9c59bf72bfcd3b99ef7
com.vaadin	vaadin-details-flow	24.3.4		12f08a42d661570fae94a28c62f15c9ff5e10484
com.vaadin	vaadin-details-flow	24.3.5		cb783663d8bde18b4a22f0b7f8fb55e3c467e53b
com.vaadin	vaadin-details-flow	24.3.6		37d1b86eaf25744cf1379310a2b7f748b2770a52
com.vaadin	vaadin-details-flow	24.3.7		5a7872efc50776c19971278f45fb87b64b61471b
com.vaadin	vaadin-details-flow	24.3.8		0b4feb189261f0dc68869f196fbc13f2507d9620
com.vaadin	vaadin-details-flow	24.3.9		4fdc718028063e07a705c557e9da515003409bdb
com.vaadin	vaadin-details-flow	24.4.0		3c3d2f884b83758103a8b9b036c5321d3ce7e9ba
com.vaadin	vaadin-details-flow	24.4.1		87faa2e89877704798fc2fa3561b156ee57d53ae
com.vaadin	vaadin-details-flow	24.4.10		cf03d20e903d2854e8354f5760bf71d1c4bb2d6a
com.vaadin	vaadin-details-flow	24.4.11		dd0e9fbd2d9a03e0fd9bbc5ca8ec968fdcf21be7
com.vaadin	vaadin-details-flow	24.4.12		2c9f523d98e1daeccf6c8de539d4063eab966ec8
com.vaadin	vaadin-details-flow	24.4.13		d39608a2f2bf8d3b4aa30eb3487ebddea65a1a93
com.vaadin	vaadin-details-flow	24.4.14		eb47d64d0899ee582caa2cca4ac85f6f5ce0419c
com.vaadin	vaadin-details-flow	24.4.15		d0dc42aec43409a7396dfafdf63ec95fcd06564e
com.vaadin	vaadin-details-flow	24.4.16		9db6de48bd12f5390decf9bc9d530ef154b72881
com.vaadin	vaadin-details-flow	24.4.17		9bb7403a511c1a91d4e6eade368c35058202cf50
com.vaadin	vaadin-details-flow	24.4.18		664213c1e19d223c447cefc381d67285726c99ef
