beehive	beehive-netui-tags-template	1.0-alpha		107d9b918241826488bcf34a6a1cee5b7a142d70
com.51degrees	device-detection.shared	4.4.58		72c8288b304deef033a6802104b9faac42cab745
com.51degrees	device-detection.shared	4.4.59		fe0a9fea7576da3ff52b3f99c41cb839529afbfb
com.51degrees	device-detection.shared	4.4.6		5e2a9ccfdbabe1e71be4a139ed82528543f2570b
com.51degrees	device-detection.shared	4.4.60		e3d40871e1aec1614109c7d04601cc859cf00bb7
com.51degrees	device-detection.shared	4.4.61		ea2e6d3d854e4f2163ff6fb2588c9bc40336ee57
com.51degrees	device-detection.shared	4.4.62		a068fbc6dbbb2a4a48db99935b3e9f3338622815
com.51degrees	device-detection.shared	4.4.63		ec58682e45d7fc8689410d0d356b4cead2a0c145
com.51degrees	device-detection.shared	4.4.64		9e6f735e0fc4d99ec7b52758eb70468b0c77758c
com.51degrees	device-detection.shared	4.4.65		e81263a251a264a1086bbedb29236be2aa642bb1
com.51degrees	device-detection.shared	4.4.66		3ef1258f5fac0befd852fbcf662008365d5da06f
com.51degrees	device-detection.shared	4.4.67		3292889c3fa781e25f5a159935c8a15faf58e398
com.51degrees	device-detection.shared	4.4.68		fbe7e241cb4f3dbca45d916b9ae8b8423908238b
com.51degrees	device-detection.shared	4.4.69		c382c50129e789bb84c3912d3518b7ee52854c11
com.51degrees	device-detection.shared	4.4.70		8445126fdc6be300a0de202b5eab6385b9e6b886
com.51degrees	device-detection.shared	4.4.71		0190fd991244a756058e21d9e375a9e082fbd97b
com.51degrees	device-detection.shared	4.4.72		492d633a237e52f3c5b2c75bcd4ddb9ee0690b06
com.51degrees	device-detection.shared	4.4.73		16ce674977145a37215718a5e4536ac7464e8991
com.51degrees	device-detection.shared	4.4.74		0e50bea32d66f877c814a2c8f28c43d052a41f3e
com.51degrees	device-detection.shared	4.4.75		d862b84d6692fa78a58c3a422550e8ba8e476b7d
com.51degrees	device-detection.shared	4.4.76		f8c79a68417f72dbe4290a9d30ca1f2faa1655bc
com.51degrees	device-detection.shared	4.4.77		abf0bb93963ae4be9823fbb0f70700d4a9c82493
com.51degrees	device-detection.shared	4.4.78		296180a8d8c13fc6b4db1150c849a79cc35b9cf4
com.51degrees	device-detection.shared	4.4.79		b02c079a0e70d904533e809f9a7a01f854b4dc0f
com.51degrees	device-detection.shared	4.4.8		565cfb3ff907a879e27fddfcb7db947e35b165c5
com.51degrees	device-detection.shared	4.4.80		4a93dcb922e9fb82703e22c4d3c95b741157ca3f
com.51degrees	device-detection.shared	4.4.81		56db2c1a92725f177b66b656a013d00dd4ba48cd
com.51degrees	device-detection.shared	4.4.82		c8923cd579f62eedcbea104bf86498bf0af5bc86
com.51degrees	device-detection.shared	4.4.83		dd42dee063e12cd597daca04c7cede961928ca84
com.51degrees	device-detection.shared	4.4.84		7220f15e597aa6e2b7ba67a308f4643fbb9dcb8b
com.51degrees	device-detection.shared	4.4.85		40448eaf75a1fb75873d62baf683110364004073
com.51degrees	device-detection.shared	4.4.86		59638305f9828a4d4039133448421ea46c85e1ba
com.51degrees	device-detection.shared	4.4.87		5c9370244fcd5772bdb225f8784f43254393e004
com.51degrees	device-detection.shared	4.4.88		29d0a8cc7effa8a842e14128a9b716684277c62c
com.51degrees	device-detection.shared	4.4.89		869eebe3305d26dc8e77ecdad8da8dd1da4253c2
com.51degrees	device-detection.shared	4.4.9		6efcdcc901eaf95d4a0ed478ae0ccb44cfdcf946
com.51degrees	device-detection.shared	4.4.90		1bfc8994b51ac349dfaa6ae758e422cbe8e04b3f
