biz.paluch.visualizr	visualizr-parent	1.0		N/A
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.16		22cadf84154cbcff8664df4ae2bfe680fd0c29cd
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.16	jspc	67fd6e86e78ee8effb11eee170f6d49a25e38f13
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.17		b33d92a9dce83291b3788f8fc79349f36274deaa
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.17	jspc	fa31aa4c4e204688109bf570c57b0341b47ed143
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.18		35063220f0a4c3f90450bc3588194397a8b6e885
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.18	jspc	5dfab13a7b2eba96c360a594830e309cd3a93b3d
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.19		3d10473cc2ec49a35cff787d2993f52cda963d87
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.19	jspc	6dd4ecce5c8b23611f5a41eddef20051cf076674
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.2		98520611075842827df90eb94fc812187a4b9ba6
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.2	jspc	6878a7cef862d53903102806bc77e3edfaafa538
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.20		0d60617d2251184dcf481a128a81a7f1faf551f7
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.20	jspc	8cc73c602ec949ee043643afac913e9aaf1954db
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.21		990c61cfaf09ae5db0fdabbbb9e200e62ad467d3
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.21	jspc	ce3d5cf483f13659508ec4fcdbdaa0d1e95558b4
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.22		bfa10f3e9fa38ecdac3d4cf51cf900553e969930
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.22	jspc	91ce869b3c760d00a773f85139d255dc3dce4da4
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.23		dc7a1eba4360bbc7adafbbf7f36f5c96ee258caf
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.23	jspc	224217fc53fc0bf26261803f9ff88976cbe3e72b
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.24		7a622b54861dae2acd6358f4db0fc45e936c1b5d
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.24	jspc	68fa40c34e4e8a1ddfd3d7dcd31ac89ce21b29af
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.3		1bff3eb192484c7db84ac76da83b901aa7670cf3
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.3	jspc	2a5c766270e11efe2b2dcbebe380ceda345ecbc6
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.4		7f1b14c5e259dc9c5f0d67f20feb73735dcb03e0
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.4	jspc	c5d42574dafd7428b0f3085dbc484dc9b4c7e832
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.5		0c1990b92cc167e1c6aa81fcdc832d3bd19fd797
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.5	jspc	6cd83b3aee1c882c9b961fba4b951b73f40fecd6
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.6		3ca63c43f3ab5518533c997714be76b75a3e8202
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.6	jspc	337c1ed58b73de27debf276741c4187d0aa54074
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.7		ae199d493c0988e0a819a914481c023f3092e03b
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.7	jspc	156f8729d21b2290f5bbef7b3c911e7504d77120
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.8		cedbe9737048e087f4986e1df93e8fa32697414e
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.8	jspc	7cd9a9de1fd2209d178f15c714e3fc0ff1e63dc1
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.9		d7448c594450c1b6028c5b2d6ddbfac1fb8338f2
com.liferay	com.liferay.knowledge.base.item.selector.web	2.0.9	jspc	f2ce8893727f6c8385a1f3db2d1d4d75f487ebbc
com.liferay	com.liferay.knowledge.base.item.selector.web	3.0.0		411e26a733c2044330450d7f7172a3e4d7723891
com.liferay	com.liferay.knowledge.base.item.selector.web	3.0.0	jspc	a382f20fadd3f79ca0c54b583d4b6ae40dcda6ae
com.liferay	com.liferay.knowledge.base.item.selector.web	3.0.1		f8f2452ada8328d31e33762e357ef8c46b518754
