com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.3-M6		d0c5edf17a90482d2454cdeee352b9e9429e5050
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.3-M7		feb9218140ea41239863bc59c4255dd4c3201e7b
com.lihaoyi	scalac-mill-moduledefs-plugin_2.13.3	0.11.4		1515b53bedf2edafc6dc0e92ab0f14bb9620f0fe
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.61.0		c00afbe5f8b5d150173d4c871ee93d49eebdf70a
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.61.1		2d398dc4033208dbd4c2d5cc970659a985f2eefe
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.61.2		5fc6ae3a6caefc14e16e02a00e195c3c6a0c3427
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.61.3		7f713b94fbe8ac6c8738ab9c02d19590919f5863
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.61.4		43b3f75588df0a2e439576afa33e7189e1e67b1a
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.61.5		d78b3da620da4934c843861326fe97214f7dcaba
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.62.0		e5e26c6eb2b27f78b58517fdffaa55c42998e6b0
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.62.1		f2f5216ccb6ae11fe26ff24fc74f886e9b18d4d7
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.63.0		41f846702d447a48e7b2a09c307d927985c17f5c
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.63.1		4630bfd7db8a3755e897ba4d95f8daf7cc00f404
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.63.2		7e6cd1bc054f9f66e1a1a78bd883a4251e08cad1
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.63.3		08d81729cb8e25d7d0e13117e3f11885e9651139
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.64.0		a036a2f518323960fefb37425f16ac6fa85651cc
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.64.1		4935da3867e66f17bc7e76ad9011ccf9e2e16a55
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.64.2		ed96edf0c09cd3e35ff159d2167267ffa938f047
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.64.3		b54e891edba37ad195c3fa62070966957f3c217e
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.65.0		114dfd1148bbd41bc8f486499bd3fc3f819bd216
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.65.1		a7503e309d765196b6409a48fad952dc831dd130
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.66.0		70c4f08886ce2ecf9467f290310d4c959eab1bfb
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.66.1		7d60ac72e095b6fb5476de50bace55a283789de6
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.67.0		3da51a5b785628b95f0c19e459775b5d120136fe
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.67.1		b76429cd3a03301479bdf7cbebe69569c0757739
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.67.2		c18a99dbb2324d8eb59ce0722258e4b6dd6a134b
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.67.3		1f6ecb1554714a40e5143baf10f009d370aac854
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.68.0		8dfc91f34b66b760be146c71a02a22f7a8eb97f5
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.69.0		897b51423609c97bacf8afdcc362e241054158f4
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.69.1		38710f8ba1c0c854e0a3e225d5a391b35a7d4f35
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.70.0		f4dd3bea0ab222695ca088a2c81659ae80f5da76
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.71.0		bbc39722f724f53cb20689b25abac6ec31c4bc6e
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.72.0		820bc6c21db49986ef04d4b83c600d8a4601f71b
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.73.0		d21546cda32caa48302a5ab4b3db2430203ec22f
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.73.1		7034acd7134d87f87f7edce2c9183b64e97b76ff
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.74.0		1f21491f931d1286dfe4623d1c0b96a94d1870c5
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.75.0		19e16a934c3c7dcfa3880cc828da7273807058d4
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.75.1		14e2ac3df8414e2d8fe18c141e6826ba5da74cb7
com.linecorp.centraldogma	centraldogma-client-spring-boot3-autoconfigure	0.76.0		cdd79da7bb17f7dca2947447b8ec8505d9a0ebd3
com.malliina	util-android_2.11	0.10.0		e7c5d93a42fe777c7c061527da39af6c47484c4b
com.malliina	util-android_2.11	0.11.0		2ab4965d9623c3bc930ea80e90abce5b592375d6
com.malliina	util-android_2.11	0.12.0		7adb298614759e5c942005d37f7e864fac889904
com.malliina	util-android_2.11	0.12.1		c4a98bc41c6c297fe80394b8d2381c5bf6baf097
com.malliina	util-android_2.11	0.12.5		5379b772f526a40b94d8f08a459f4d2d240f5a92
com.malliina	util-android_2.11	0.12.6		502a9c4904cbf15d9aa903b2823f5068e091e604
com.malliina	util-android_2.11	0.9.11		7410b8692320863cccff8cc9903e75cfe2e14179
com.manymobi	servlet-http-log-logstash-spring-boot-starter	1.0.0		cfec007d0424f695ed8f150063b48b8f1d4487fc
com.manymobi	servlet-http-log-logstash-spring-boot-starter	1.1.0		503f5386132a523fafa75a5346d10737fdf851a4
com.netflix.servo	servo-atlas	0.10.0		e2b3ca42993b5e82f6335d2f980109611f32bf68
com.netflix.servo	servo-atlas	0.10.1		848c2c453286a9cc38f92f18fd94eba66ca8bbf7
com.netflix.servo	servo-atlas	0.11.0		b329868aaf9bc243b6492e9b54f31ee7aa94c47c
com.netflix.servo	servo-atlas	0.11.0-rc.1		21e63f65b762f1b70513ba493ecb4438b0b65125
com.netflix.servo	servo-atlas	0.11.1		4eda0246553e79e063315eb87661b26e4bf61767
com.netflix.servo	servo-atlas	0.11.2		93a85995f4b4528d544b95506ca7cdbbe65b697b
com.netflix.servo	servo-atlas	0.11.3		1f6421d6ab0c0bf7bb9531ef140b0590728abeac
com.netflix.servo	servo-atlas	0.11.4		4ebc971f6dbfc9501413b0c937fc3bb8f853bd8f
com.netflix.servo	servo-atlas	0.11.5		d423c843a3caf8273a51e686ce950dcf1cef9570
com.netflix.servo	servo-atlas	0.12.0		bbeb92a9ace2be03c5f31948da997470f6b86e00
com.netflix.servo	servo-atlas	0.12.1		c55d7d42e9b354ace8b4426c9a68aeead67ada56
com.netflix.servo	servo-atlas	0.12.10		a8fc42bf3177e01f97405e1690804d6675fe6a64
com.netflix.servo	servo-atlas	0.12.11		9e2642afb85e06f9401bf3a88160922e294f1799
com.netflix.servo	servo-atlas	0.12.12		37908afcfc1eeb252fad83f208ca729183c71755
com.netflix.servo	servo-atlas	0.12.13		08bb9ba05716b069416b3e0361b73120a737911a
com.netflix.servo	servo-atlas	0.12.14		585cc6b3cbd58877a248d29d8d876125c2b36904
com.netflix.servo	servo-atlas	0.12.15		446cc2159c1ca022a24f9bc655610305203ed0fd
com.netflix.servo	servo-atlas	0.12.16		cb7746a9b66f4fcad27d6d77234802e8d8c705ce
com.netflix.servo	servo-atlas	0.12.17		a801b6e65f2eb4a38edd41f6dbb31db7ff8c81d7
com.netflix.servo	servo-atlas	0.12.18		f3d257a0daed08bb919b50279ffc5284957924c0
com.netflix.servo	servo-atlas	0.12.19		15e7b396997220530584ce226a8f83766752a1f8
com.netflix.servo	servo-atlas	0.12.2		87c41ab18b0c89d4fec7da5c9cc307160aeb7d44
com.netflix.servo	servo-atlas	0.12.20		c52a3316fc907b00a620b537e109a10f67f772a3
com.netflix.servo	servo-atlas	0.12.21		6a0bbbbf57b894d82ea654e29cbcdb25ac8cea40
com.netflix.servo	servo-atlas	0.12.22		fc8cb4c3fdc1c5a5e53b7708a2750036f9c649c1
com.netflix.servo	servo-atlas	0.12.23		b2e3b5a2b89ce9199241f0ad1c88866dbcaae59f
com.netflix.servo	servo-atlas	0.12.24		89ec74cc64d70a5b8adcfcec2e00161a13904c85
com.netflix.servo	servo-atlas	0.12.25		a9bddb9f4831c9e14f4ddcef2b49e11f278cccfa
com.netflix.servo	servo-atlas	0.12.26		35256252e3e8b977987499d8be9e0380149d05c5
com.netflix.servo	servo-atlas	0.12.27		e1f532071b47a4cb5040969883b557ab38a60cbf
com.netflix.servo	servo-atlas	0.12.28		97bcf8dd56c9b201394a89fe52fffcd206e3159c
com.netflix.servo	servo-atlas	0.12.3		5bda952067363f1831ebb85d4997eca45470e18c
com.netflix.servo	servo-atlas	0.12.5		4dfa16e72b98b7fa78526a2fbaf93bab08344b62
com.netflix.servo	servo-atlas	0.12.6		101dcf598a1a4c9262f000574b473cce244fdd6d
com.netflix.servo	servo-atlas	0.12.7		d383360fc7edcfc7cf07ce370747c75f80971619
com.netflix.servo	servo-atlas	0.12.8		103bc71ae4b5f26ab04ae3ce33876545cbd1ba93
com.netflix.servo	servo-atlas	0.12.9		d3bb4097f3b45f962df422212d11d21c98d34437
com.netflix.servo	servo-atlas	0.13.0		918718a281f49d5b5ff6bbd693b6b96add18e8bc
com.netflix.servo	servo-atlas	0.13.2		48f5c4d6fb27974c5a02342ae83bb7b4ccf417ff
com.netflix.servo	servo-atlas	0.9.3		9d4695ef7aa54e087a005ea90267d912e7ab1f24
