com.toast.iap	iap	1.3.2		N/A
com.toast.iap	iap	1.3.2.1		N/A
com.toast.iap	iap	1.3.2.2		N/A
com.toast.iap	iap	1.3.3		N/A
com.toast.iap	iap	1.3.3.1		N/A
com.toast.iap	iap	1.3.3.2		N/A
com.toast.iap	iap	1.3.3.3		N/A
com.toast.iap	iap	1.3.3.4		N/A
com.toast.iap	iap	1.3.3.5		N/A
com.toast.iap	iap	1.3.3.6		N/A
com.toast.iap	iap	1.3.4		N/A
com.toast.iap	iap	1.3.5		N/A
com.toast.iap	iap	1.3.5.1		N/A
com.toast.iap	iap	1.3.5.2		N/A
com.toast.iap	iap	1.3.7		N/A
com.toast.iap	iap	1.3.8		N/A
com.toast.iap	iap	1.3.9		N/A
com.toast.iap	iap	1.4.0		N/A
com.toast.iap	iap	1.4.1		N/A
com.toast.iap	iap	1.5.0		N/A
com.toast.iap	iap	1.5.1		N/A
com.toast.iap	iap	1.5.2		N/A
com.toast.iap	iap	1.5.3		N/A
com.toast.iap	iap	1.5.3-rc0		N/A
de.sebbraun.helpers	path-matcher_sjs0.6_2.11	0.0.2		3f10a2fb1b625b1d335cdfd77fac1a0759935304
io.americanexpress.synapse	sample-service-rest-book	0.3.0		227b4bae0d8270d5deff125fb8f9002ca9ed41c8
io.americanexpress.synapse	sample-service-rest-book	0.3.1		a09ab42b280f8789a1b4cc464bea17e8b9d92983
io.americanexpress.synapse	sample-service-rest-book	0.3.10		9b85c68d32ed8a3977c878fc5c87f85eaacf81f9
io.americanexpress.synapse	sample-service-rest-book	0.3.11		ff7a0fe466ed639c7738fc5579e0a2ca47851944
io.americanexpress.synapse	sample-service-rest-book	0.3.13		28f4d3758ea2027601bd2ed55e1c977d00e52578
io.americanexpress.synapse	sample-service-rest-book	0.3.14		8998f0d5f206bf8d6c6884b9a12e2be865a369e2
io.americanexpress.synapse	sample-service-rest-book	0.3.15		9dfb0f963034bd97e703cb12bbb12bcd17f4c461
io.americanexpress.synapse	sample-service-rest-book	0.3.16		919df071409e228c0e3e267b49f7479ddafd8c4a
io.americanexpress.synapse	sample-service-rest-book	0.3.17		70396fddc2e435e4dbb4664ce4034d54a3a4f5f9
io.americanexpress.synapse	sample-service-rest-book	0.3.18		6b66875a6744782aad16a1ca2d053d4d63004cd5
io.americanexpress.synapse	sample-service-rest-book	0.3.19		7483633613654b64467befd4fffba513ea1bbb1e
io.americanexpress.synapse	sample-service-rest-book	0.3.2		f42d17c0c75589259c990e5b12879632b40e180b
io.americanexpress.synapse	sample-service-rest-book	0.3.20		a347c3ad5ee84739c588bf44dbabd62358513b4e
io.americanexpress.synapse	sample-service-rest-book	0.3.21		cfb451c6f923ed20e613957bbf710935855e060b
io.americanexpress.synapse	sample-service-rest-book	0.3.22		5dc324eff96b13787fcdeee81482219bed47db03
io.americanexpress.synapse	sample-service-rest-book	0.3.23		b2f8a0b27723a7bea903af201ca3eedc3f5fd21b
io.americanexpress.synapse	sample-service-rest-book	0.3.24		601801c14afdc6081b008c0aaa86b99748bc3e06
io.americanexpress.synapse	sample-service-rest-book	0.3.3		febb763508382ce1eca8377d7f838af9984ed1bc
io.americanexpress.synapse	sample-service-rest-book	0.3.4		ccc489a8eef6de5d7392dbda4d3455f48c370dd8
io.americanexpress.synapse	sample-service-rest-book	0.3.5		9f9f17797b3191edc1df42b134d18b4c6f649791
io.americanexpress.synapse	sample-service-rest-book	0.3.6		55c8f645d67c35ff2ff1dead2436b40126c165f6
io.americanexpress.synapse	sample-service-rest-book	0.3.7		a54dec0ce6f6462a1624fdf85a08dfdf595c1692
io.americanexpress.synapse	sample-service-rest-book	0.3.8		d4b57fc743317e1ef4d22e631a2587799bef651f
io.americanexpress.synapse	sample-service-rest-book	0.3.9		150266b53765e9dbfa2ba99647aaf3aa477c0947
io.drinkwater	drinkwater-servlet	0.0.10		98d80f1a8e60560a9f86cb9ce5cdd8a1fa94dabf
io.drinkwater	drinkwater-servlet	0.0.7		4b3d37b132207608a726e7712c4f0936c7df32b8
io.drinkwater	drinkwater-servlet	0.0.8		0abcb0d046d2846ce51a7bfc4a9b0d4ede0acb73
io.drinkwater	drinkwater-servlet	0.0.9		d966869fb1c8c0b15b7bd66d466e9f31aa5c06d8
