com.google.cloud.sql	jdbc-socket-factory-core	1.16.0		14928d32d6ad46ae3bb9279cb39936dd7f44bab3
com.google.cloud.sql	jdbc-socket-factory-core	1.17.0		a4a921fb9e47cdb3947b69bbb0f67ee0d1529248
com.google.cloud.sql	jdbc-socket-factory-core	1.17.1		f99700a10355f217046b64d81009999a06d2c5b9
com.google.cloud.sql	jdbc-socket-factory-core	1.18.0		e2500e8c00c083d764787976a6e4494f546d3bda
com.google.cloud.sql	jdbc-socket-factory-core	1.18.1		7461d2c3314b74c82a1d43fca3ce12bcf3c05735
com.google.cloud.sql	jdbc-socket-factory-core	1.19.0		748b2a9ca3e74f3033f78ef21e90a9d4da60719a
com.google.cloud.sql	jdbc-socket-factory-core	1.19.1		22ebddd1b533054be03696d85380a5988e8dfce0
com.google.cloud.sql	jdbc-socket-factory-core	1.2.0		5f9551908e82390867c5b87ec2a0faec0e36f96b
com.google.cloud.sql	jdbc-socket-factory-core	1.2.1		c43288c9ce9148eb25bac9a8808bdc85756c5a34
com.google.cloud.sql	jdbc-socket-factory-core	1.2.2		3a0e2e3d7313c96d527816bbaceaecae67ee9622
com.google.cloud.sql	jdbc-socket-factory-core	1.2.3		d565178366835ede8d2cb44b14c97f2ccf54b36a
com.google.cloud.sql	jdbc-socket-factory-core	1.20.0		c1e4d3fa8dccdab82c0a4255cdc68a443e2d22fe
com.google.cloud.sql	jdbc-socket-factory-core	1.20.1		6c36be53598e06df7adac80a3b4965ca96f0dd80
com.google.cloud.sql	jdbc-socket-factory-core	1.21.0		17444d7136fd5710cb25fee67b78c12c3d91c11c
com.google.cloud.sql	jdbc-socket-factory-core	1.21.1		c0c3f2d545d88f85e38879837d15e7e1b6c33017
com.google.cloud.sql	jdbc-socket-factory-core	1.21.2		fa5bedf4d92e70987a6eefe3b03968c78ab22755
com.google.cloud.sql	jdbc-socket-factory-core	1.22.0		4cd816d5b79d67ccf8297faecc0a962751cb9875
com.google.cloud.sql	jdbc-socket-factory-core	1.23.0		482a26dd14f752c3b74a3240c02ff948df401d3b
com.google.cloud.sql	jdbc-socket-factory-core	1.23.1		90108e5c39869da9dc32b0315a913cdf7857e6bc
com.google.cloud.sql	jdbc-socket-factory-core	1.24.0		725ae3fb8ab0ebc83b6acee5a5bd72951157351b
com.google.cloud.sql	jdbc-socket-factory-core	1.24.1		a64aa286c9ae0cfe55e571e4f0bc7b15ae5a4683
com.google.cloud.sql	jdbc-socket-factory-core	1.24.2		aa84156beeb58bcb503055c0b054a3811102d558
com.google.cloud.sql	jdbc-socket-factory-core	1.25.0		f9b75d506c0ccbcbd0e2ea54363062a3dd342373
