com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.6.0		85fdf7473e3e324259e932a2560ff622b481b7a5
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.7.0		16e185c063b63d311f8b9a73dd9f80ad1b628381
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.8.0		7f70491e9fdac8e5e7d19aed4bce918b6b396210
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.9.0		63e40282adc4847fbbf80fe07abf13f1dedf5aa3
com.google.dagger	dagger-android-support-legacy	2.26		N/A
com.google.dagger	dagger-android-support-legacy	2.27		N/A
com.google.dagger	dagger-android-support-legacy	2.28		N/A
com.google.dagger	dagger-android-support-legacy	2.28.1		N/A
com.google.dagger	dagger-android-support-legacy	2.28.2		N/A
com.google.dagger	dagger-android-support-legacy	2.28.3		N/A
com.google.dagger	dagger-android-support-legacy	2.29		N/A
com.google.dagger	dagger-android-support-legacy	2.29.1		N/A
com.google.dagger	dagger-android-support-legacy	2.30		N/A
com.google.dagger	dagger-android-support-legacy	2.30.1		N/A
com.google.dagger	dagger-android-support-legacy	2.31		N/A
com.google.dagger	dagger-android-support-legacy	2.31.1		N/A
com.google.dagger	dagger-android-support-legacy	2.31.2		N/A
com.google.dagger	dagger-android-support-legacy	2.32		N/A
com.google.dagger	dagger-android-support-legacy	2.33		N/A
com.google.dagger	dagger-android-support-legacy	2.34		N/A
com.google.dagger	dagger-android-support-legacy	2.34.1		N/A
com.google.dagger	dagger-android-support-legacy	2.35		N/A
com.google.dagger	dagger-android-support-legacy	2.35.1		N/A
com.google.dagger	dagger-android-support-legacy	2.36		N/A
com.google.dagger	dagger-android-support-legacy	2.37		N/A
com.google.dagger	dagger-android-support-legacy	2.38		N/A
com.google.dagger	dagger-android-support-legacy	2.38.1		N/A
com.google.dagger	dagger-android-support-legacy	2.39		N/A
com.google.dagger	dagger-android-support-legacy	2.39.1		N/A
com.google.dagger	dagger-android-support-legacy	2.40		N/A
com.google.dagger	dagger-android-support-legacy	2.40.1		N/A
com.google.dagger	dagger-android-support-legacy	2.40.2		N/A
com.google.dagger	dagger-android-support-legacy	2.40.3		N/A
com.google.dagger	dagger-android-support-legacy	2.40.4		N/A
com.google.dagger	dagger-android-support-legacy	2.40.5		N/A
com.google.dagger	dagger-android-support-legacy	2.41		N/A
com.google.dagger	dagger-android-support-legacy	2.42		N/A
com.google.dagger	dagger-android-support-legacy	2.43		N/A
com.google.dagger	dagger-android-support-legacy	2.43.1		N/A
com.google.dagger	dagger-android-support-legacy	2.43.2		N/A
com.google.dagger	dagger-android-support-legacy	2.44		N/A
com.google.dagger	dagger-android-support-legacy	2.44.1		N/A
com.google.dagger	dagger-android-support-legacy	2.44.2		N/A
com.google.dagger	dagger-android-support-legacy	2.45		N/A
com.google.dagger	dagger-android-support-legacy	2.46		N/A
com.google.dagger	dagger-android-support-legacy	2.46.1		N/A
com.google.dagger	dagger-android-support-legacy	2.47		N/A
com.google.dagger	dagger-android-support-legacy	2.48		N/A
com.google.dagger	dagger-android-support-legacy	2.48.1		N/A
com.google.dagger	dagger-android-support-legacy	2.49		N/A
com.google.dagger	dagger-android-support-legacy	2.50		N/A
com.google.dagger	dagger-android-support-legacy	2.51		N/A
com.google.dagger	dagger-android-support-legacy	2.51.1		N/A
com.google.dagger	dagger-android-support-legacy	2.52		N/A
com.google.dagger	dagger-android-support-legacy	2.53		N/A
com.google.dagger	dagger-android-support-legacy	2.53.1		N/A
com.google.dagger	dagger-android-support-legacy	2.54		N/A
com.google.dagger	dagger-android-support-legacy	2.55		N/A
com.google.dagger	dagger-android-support-legacy	2.56		N/A
com.google.dagger	dagger-android-support-legacy	2.56.1		N/A
com.google.dagger	dagger-android-support-legacy	2.56.2		N/A
com.gregorpurdy	ident_2.13	0.1.1		9bd839fb9cb8cb8792c40d5e18a4ff0d1d50a997
com.gregorpurdy	ident_2.13	0.2.0		4fb69f4ce577a1e29ced88eba2f1c211afe68d2e
com.gregorpurdy	ident_2.13	0.3.0		4e3b1577e02689d8b085a5151e68a60e35bbf27e
com.kangxiaoguang.auto-app-version	com.kangxiaoguang.auto-app-version.gradle.plugin	2.0.7		N/A
com.kangxiaoguang.auto-app-version	com.kangxiaoguang.auto-app-version.gradle.plugin	2.0.8		N/A
com.kangxiaoguang.auto-app-version	com.kangxiaoguang.auto-app-version.gradle.plugin	2.0.9		N/A
com.lendup.fs2-blobstore	s3_2.13	0.6.0		ecc6deaf47f1d16e5fdcab012b957fd1c4fb9592
com.lihaoyi	ammonite-compiler_2.13.16	3.0.1		32f568cb51ec8ece0d0c5e8db5643c12b876a88f
com.lihaoyi	ammonite-compiler_2.13.16	3.0.2		0ee36331f94e2e3b9c35adb05fd0ad6f3cf6d4e5
com.lihaoyi	ammonite-compiler_2.13.16	dev-0-5b8ba21		44d97ffe9c15d95737e814b170dd0988fa2e6231
com.moz.fiji.mapreduce	fiji-mapreduce-cassandra-test	0.1.0		1f2ee48c3872d952f38dde31ce641afd41f8c545
com.moz.fiji.mapreduce	fiji-mapreduce-cassandra-test	0.1.1		3d49aba021daed77a17ad24ce3ee3af80335a83c
com.proofpoint.platform	launcher	0.44		N/A
com.proofpoint.platform	launcher	0.45		N/A
com.proofpoint.platform	launcher	0.46		N/A
com.proofpoint.platform	launcher	0.47		N/A
com.proofpoint.platform	launcher	0.48		N/A
com.proofpoint.platform	launcher	0.49		N/A
com.proofpoint.platform	launcher	0.50		N/A
com.proofpoint.platform	launcher	0.51		N/A
com.proofpoint.platform	launcher	0.52		N/A
com.proofpoint.platform	launcher	0.53		N/A
com.proofpoint.platform	launcher	0.54		N/A
com.proofpoint.platform	launcher	0.55		N/A
com.proofpoint.platform	launcher	0.56		N/A
com.proofpoint.platform	launcher	0.57		N/A
com.proofpoint.platform	launcher	0.58		N/A
com.proofpoint.platform	launcher	0.59		N/A
com.proofpoint.platform	launcher	0.60		N/A
com.proofpoint.platform	launcher	0.61		N/A
com.proofpoint.platform	launcher	0.62		N/A
com.proofpoint.platform	launcher	0.63		N/A
com.proofpoint.platform	launcher	0.64		N/A
com.proofpoint.platform	launcher	0.65		N/A
com.proofpoint.platform	launcher	0.66		N/A
com.proofpoint.platform	launcher	0.67		N/A
com.proofpoint.platform	launcher	0.69		N/A
com.proofpoint.platform	launcher	0.70		N/A
com.proofpoint.platform	launcher	0.71		d3a97d68b4ceb589b85a16f95000bda40f5fa407
com.proofpoint.platform	launcher	0.72		0c92acb40a2afd04b56f34bd10721e6fb3981a4a
com.proofpoint.platform	launcher	0.73		03aabc5e8d0e5d73493cefab03e5261edb13e4f0
com.proofpoint.platform	launcher	0.74		09eb03dd32f68ef5cb3788c1345b2b3a5f5f36b9
com.proofpoint.platform	launcher	0.75		75d72345a44b97deaa37064155816c8886482caa
com.proofpoint.platform	launcher	0.76		c26163311b85014b8a2a5713381c7a808f239e99
com.proofpoint.platform	launcher	0.77		93447984bd28778597ca45ff2c83238b3c1cbc3f
com.proofpoint.platform	launcher	0.78		471f40a3594f539ded3bb54732e95f08a96d2608
com.proofpoint.platform	launcher	0.79		95ec171e4b6740db2348cd158ace44d50ca1d4c4
com.proofpoint.platform	launcher	0.80		efa96d8b21a93316496ddc1e3fc47a040a65b3d1
com.proofpoint.platform	launcher	0.81		b8d285e9b1c319e778853de0564b249427d2df59
com.proofpoint.platform	launcher	0.82		8f46c5a897583e850dbbcd93d46bda3781954a2f
com.proofpoint.platform	launcher	0.83		f19b6ac6a267db7b05f1b8685cedc51c48715327
com.proofpoint.platform	launcher	0.84		e1f1f6d0d3906198dfece0c70b9532670b183136
com.proofpoint.platform	launcher	0.85		f299844c6013e121c1e5a98ce5a15ae4379041d9
com.proofpoint.platform	launcher	0.86		0d99379adc5df1dcbfa92558b262fa5537bc5277
com.proofpoint.platform	launcher	0.87		b23a10016bc53579093e654305e7640a33bb0f74
com.proofpoint.platform	launcher	0.88		e37e5697eacacf5dcc4b433fae388b1c839a7341
com.proofpoint.platform	launcher	0.89		9dea987d7cd99d7e21cdef1ef77ccfa46c2f7ca1
com.proofpoint.platform	launcher	0.90		00643c97873cfc2c913ea81c9811d25066fbf00e
com.proofpoint.platform	launcher	0.91		30f92e436bb2928c12cbec735aff9e70a3433cce
com.proofpoint.platform	launcher	0.92		4aaccac0945899054a83a96288adb29819fd8971
com.proofpoint.platform	launcher	0.93		c5bf99aec610ddcd5e5866e0c867b136d1cd5bac
com.proofpoint.platform	launcher	0.94		a891e6934f3554ff3e5fb0e2035c68542faef1c4
com.proofpoint.platform	launcher	0.95		7a5089cf5b01185e3b809b27f9efbaf09aaf599c
