com.twitter	util-security_2.12	21.10.0		09dd5b1863dd6b6c19a86ee38add2b2f1c819dc9
com.twitter	util-security_2.12	21.11.0		cdb4fa4256a9fb52ee6cadca3e247951f6022562
com.twitter	util-security_2.12	21.12.0		6b4b4226b48e5a2eb71145900837ef0db9272679
com.twitter	util-security_2.12	21.2.0		9af9b11b6b8ed3100a84095d63a2a0c706d3acc2
com.twitter	util-security_2.12	21.3.0		fb3218e68bbc3d08ef20d6c13a1160d137571e10
com.twitter	util-security_2.12	21.4.0		5ae6a760e489373d75f03a1923d494f3cd9b6848
com.twitter	util-security_2.12	21.5.0		17ea93d2bdd00b5ccb88600ff52fad2b815c8075
com.twitter	util-security_2.12	21.6.0		6f4d444c6233fe4e40e22f4a16c687c8067199e6
com.twitter	util-security_2.12	21.8.0		8640e3d0105c63025b4c8f5642e86103ce7b3bca
com.twitter	util-security_2.12	21.9.0		777584d1292f68f90b46be9abd9ea1830051d893
com.twitter	util-security_2.12	22.1.0		d1b915cd7ffceea801c4e861106dacdb17ee7b2e
com.twitter	util-security_2.12	22.12.0		b8b01f14688c1db6c63b8d76452fe10b7d76a4ae
com.twitter	util-security_2.12	22.2.0		154e2d6d3c6b1b0b49a6fe3a560f7cad1a35a5ba
com.twitter	util-security_2.12	22.3.0		ea8b701843b54573ed688557fae0a4f65e5e860f
com.twitter	util-security_2.12	22.4.0		85409ef4f8018366c1d18788283a285947099f02
com.twitter	util-security_2.12	22.7.0		df720c31e29f9c1d72683574939f71ec9120aac7
com.twitter	util-security_2.12	23.11.0		0605c3f5c8444f22280a34d4d9f4548ac7e5a44a
com.twitter	util-security_2.12	24.2.0		aa6f6eb40b55f273afd143c4b97148540bcbe988
com.twitter	util-security_2.12	6.39.0		9afc965b745ae6efa3f4752c233ee6062795445c
com.twitter	util-security_2.12	6.40.0		59b2955e4c182f4240fcdb760cf8fe41d7c0f2e2
com.twitter	util-security_2.12	6.41.0		54035189a5c036a1a8d8cc77d1a5e669ae04e97e
com.twitter	util-security_2.12	6.42.0		d8f26d23ce3886a92b1a1dd26c9e07cd62597c96
com.twitter	util-security_2.12	6.43.0		e623443d8e0f3fda4aa38f2ff0a5b8a60959b34a
com.twitter	util-security_2.12	6.45.0		2ddbb4194989c2bc6e6c53593d590f636fb7850d
