app.mustats.apolostudio	color-picker-compose-wasm-js	0.0.0		N/A
de.codecentric.mule.modules	data-weave-caller	1.1.0		0843743bbac3e30eb724ec411705d68b9d0d64e8
de.codecentric.mule.modules	data-weave-caller	1.1.1		afec0c53dc1b9916e9bd8d6448330d8dfcada8bc
de.codecentric.mule.modules	data-weave-caller	1.1.2		284e603b8d9ef6a1c7dbb866b7933674ccaa9df5
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.10		869bfc06e82d7fbea7530fdcec466c9d26df6f44
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.11		d76a4e4b747b71ac75c0308cac93980c72155153
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.12		984219af3b6b7f2fa8da15d12209a3d427e37ec5
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.13		18abc57a464a44230f305c5aa0357b37fdd53361
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.14		0aad0a61a21cd22fafe87abf765e43ce4fd58668
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.15		41bcbd0123a7c599c9d4f94158c3042b1dfabc73
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.16		149d76a18fbd0cb871a235b2849bcd020ff58890
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.17		bc4d55f3f34fcfdafb1e4e38cbf6b21fbe819d92
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.18		15e9398dcfea2d2fed7b7b8a05dc0c40b2a8e9d2
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.19		0929bb580a0d0e9d7d3d791240c6227f4f6f3068
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.20		6f260303a3d6380f39ab75e42f343704cb0bd2a5
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.21		267f9e65a32be9c4e3212dec9e7586c2c32b8663
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.22		e72919b9b1ddaab0ee553e16d4d7faf39ced985f
de.mklinger.qetcher	qetcher-adapter-liferay-abstraction-api	2.0.23		95b4e50e41dffa62e7ebd751d610118e28b3b469
