cc.co.scala-reactive	reactive-web_2.8.1	0.1		906e210cfef063412dfdcc32af1c350bae37f25b
com.sdl.delivery	udp-cil-tags	11.0.0-1094		3c4fd1f1bfdc6ac335a14987484f6b4cb874622a
com.sdl.delivery	udp-cil-tags	11.0.0-1107		20e00fd4e32a9bb8f4f560e5571f2879f2e59f40
com.sdl.delivery	udp-cil-tags	11.0.0-1108		3836791329da592d06957bab2299cbeeb669e8ce
com.sdl.delivery	udp-cil-tags	11.0.1-1017		31c1c11e7583b4aef6acaa72942e117e23cae5c2
com.sdl.delivery	udp-cil-tags	11.1.0-1054		70ec62bdd6e605d787d6c5f81f9b3cb7c9236bcc
com.sdl.delivery	udp-cil-tags	11.1.0-1098		811ee7ab8c96440ede799cbfebc6ab16a77cb86e
com.sdl.delivery	udp-cil-tags	11.1.0-1115		146c693c327bea380a87816d99290b9bf1edbd08
com.sdl.delivery	udp-cil-tags	11.5.0-1069		3f5975b1b240ce31719df53d35de33ba50e9222c
com.sdl.delivery	udp-cil-tags	11.5.0-1199		6336105e3258c9d32de85e666f4179a9f85e973e
com.sdl.delivery	udp-cil-tags	11.6.0-1156		dfe906fd9d196006fecdab408873d9269854d84c
com.sdl.delivery	udp-cil-tags	12.0.0-1278		bf4278d4144d1ed016ef4be01108618e779ff4ff
com.sporniket.spring-test-dbunit	spring-test-dbunit-core	5.2.1		a4904522beadefc37a07271c00a3875cbc0423b2
com.talk2object	plum	0.0.4		N/A
com.talk2object	plum	0.1.14		N/A
com.talk2object	plum	0.1.15		N/A
com.talk2object	plum	0.1.16		N/A
com.talk2object	plum	0.1.21		N/A
com.talk2object	plum	0.1.22		N/A
com.talk2object	plum	0.1.9		N/A
com.visionarts	power-jambda-events	0.10.0		d044f09f9e9988e03967858ed3bb7f40a5a6c7d2
com.visionarts	power-jambda-events	0.9.0		9a471ada9c44c6d2377132bff6e5535b278459bc
com.visionarts	power-jambda-events	0.9.1		984f0bde6f282f33cc92a9f4454a4b8d9ce891f8
