apache-jaxme	jaxme-incubation	0.2		673e597271e0a5c22680efbaefdfe9c8c35ce1ff
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.44		11e2fa3b9d1ba43219ff9c229609c20b04641fe3
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.44	wsdd	0bed0e104722df45a6d67a4d4f4fc3fa84599504
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.45		c8e5f5ef4da37c5f0d9ac8e3d8a955664e0e1f81
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.45	wsdd	f4d1998d319a3e0cd88a2d2a72b845998813c8bb
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.46		269e6679d5c4392933a994b6a9a0e3738f5f3285
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.46	wsdd	cd58ab1111ccf11715dbd0ab89ed3dac97f070ba
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.47		377b5f4602f77f3a20c201059ce90e04a547971f
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.47	wsdd	414a019877dceab7f9b7cbda85798fbfb426fb47
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.48		f7cffdc5021aa55ed1b488d2f6349c0bcb28c300
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.48	wsdd	402829f869e245d1747a8d9a699659e7a3540898
