com.github.omarmiatello.telegram	dataclass-only	7.5.1	7.5.1-all	3b6d9901720190f30a18849636ee636f70c0b19a
com.github.omarmiatello.telegram	dataclass-only	7.6	-	5d12a79430785148495a5cb69b7e2d1ca1b8c5f7
com.github.omarmiatello.telegram	dataclass-only	7.6	7.6-all	c7e5e19b797f13112578ce8f3400a0a420031d93
com.github.omarmiatello.telegram	dataclass-only	7.7	-	21bab16f45491ff598cfdfb2cbd9c18e6365dbdf
com.github.omarmiatello.telegram	dataclass-only	7.7	7.7-all	d31fffb85f5eb82754f07664b51efdaa69267047
com.github.omarmiatello.telegram	dataclass-only	7.7.1	-	a840c15214b2fc00de8e99cbbf81df627e949475
com.github.omarmiatello.telegram	dataclass-only	7.7.1	7.7.1-all	a32d7b0161a8837724f67e47b2902fe7f4e0e3ac
com.github.omarmiatello.telegram	dataclass-only	7.7.2	-	39c818e7aecf1e25b57c5008450dcdd70b941c89
com.github.omarmiatello.telegram	dataclass-only	7.7.2	7.7.2-all	48303e6b338301d93da86b5fc7d940cc940acd02
com.github.omarmiatello.telegram	dataclass-only	7.7.3	-	1fff70a8bba6eb184a57a78dec8ae58cab4ddc0f
com.github.omarmiatello.telegram	dataclass-only	7.7.3	7.7.3-all	e0402b978eb98bee490ccea91fab5d21046543ff
com.github.omarmiatello.telegram	dataclass-only	7.8	-	bab7a952ddbdf7b1c4fa63ad15db4e6f47d7e20b
com.github.omarmiatello.telegram	dataclass-only	7.8	7.8-all	401e1584f820847f43eb673b226a5b8cae0e272d
com.github.omarmiatello.telegram	dataclass-only	7.9	-	ca91e53bf7251bdb8339cbb666053b0912322f76
com.github.omarmiatello.telegram	dataclass-only	7.9	7.9-all	cb068e135de3f4c331eb5815bcd9d00609c716ea
com.github.tomasmikula	core-tests_3	0.2-M2	-	2d36909a7f84eaa2104ff4dd05b4c247db4881a7
com.google.cloud.tools	jib-quarkus-extension-gradle	0.1.0	-	e576a6e93e2641ff47c017d0c43ec76a19d1953a
com.google.cloud.tools	jib-quarkus-extension-gradle	0.1.1	-	4a537339f2b93780c49a0c855a3f0f238c0a4574
com.google.cloud.tools	jib-quarkus-extension-gradle	0.1.2	-	c832977cc3adb1b518b9a7f36513288351e00e78
