com.liferay	com.liferay.headless.discovery.impl	4.0.0		c7cafb007b98e6dd7cc2ea4cefa0731c3b6ee1c8
com.liferay	com.liferay.headless.discovery.impl	4.0.1		ff9bc5217824f7a7b1566ecfd794034e77ebf830
com.liferay	com.liferay.headless.discovery.impl	4.0.10		b5ef026bfaeb4dd3ba382bc917fc70d1676175e7
com.liferay	com.liferay.headless.discovery.impl	4.0.11		ec35f0121aa68cfdeceb78ed15f0e7a6df5a6cb5
com.liferay	com.liferay.headless.discovery.impl	4.0.12		f904d8400f5507eb8ffdb3173ed060d4f9ae94b0
com.liferay	com.liferay.headless.discovery.impl	4.0.13		ae9c348f2565f08b02c963653b0b8c0748a28b3e
com.liferay	com.liferay.headless.discovery.impl	4.0.14		7ee9592ad8f3521b336a87210a964e60c66221bf
com.liferay	com.liferay.headless.discovery.impl	4.0.15		edb62b1534e35f2b5625f72396287e05d16bcfcf
com.liferay	com.liferay.headless.discovery.impl	4.0.16		69d1b676f3173fd4d874f2254d0b9a775f5d5a1b
com.liferay	com.liferay.headless.discovery.impl	4.0.17		8bfc0b5c7c288199eb05c7e7b41c520b9d9b5e33
com.liferay	com.liferay.headless.discovery.impl	4.0.18		a39403cdc84f77e7e9956f3168efd6a1765ba508
com.liferay	com.liferay.headless.discovery.impl	4.0.19		485692dfaa3864bc19183357ba1ad8649053e39c
com.liferay	com.liferay.headless.discovery.impl	4.0.2		bab1c8f409ad4374a97a78f266aaa5466bb7b735
com.liferay	com.liferay.headless.discovery.impl	4.0.20		4f77852d7cd617f4ad3499b7147650db45002a49
com.liferay	com.liferay.headless.discovery.impl	4.0.21		e9cbb2f7ddff31e0e0fc80238b2821f327022834
com.liferay	com.liferay.headless.discovery.impl	4.0.22		25e7db5d17853087a98a87dddb66e190c9081676
com.liferay	com.liferay.headless.discovery.impl	4.0.23		e99ff859699641cee7eeb4c0874832548c5b4df7
com.liferay	com.liferay.headless.discovery.impl	4.0.24		a691000e4b8d2315d829960009d296586640b0e6
com.liferay	com.liferay.headless.discovery.impl	4.0.25		c8cca1b75f3e52a50665559357a7f4c404938b01
com.liferay	com.liferay.headless.discovery.impl	4.0.26		499a7aff797b184f7069308f2118915ac813e06a
com.liferay	com.liferay.headless.discovery.impl	4.0.27		20db5a7a26e23e73904d8c20fc22c87a22b89ddc
com.liferay	com.liferay.headless.discovery.impl	4.0.28		97bc0cff1919b64d184d5ad728964a1b5a6db784
com.liferay	com.liferay.headless.discovery.impl	4.0.29		7aa9634ecf4e4b472aad5ea0def24e50c03bef67
com.liferay	com.liferay.headless.discovery.impl	4.0.3		5af256acaf4aed1ba638a33fdc9132f7b67cfa41
com.liferay	com.liferay.headless.discovery.impl	4.0.30		c065d38566b7995a814a2ae6c3d1a5289d5a30a7
com.liferay	com.liferay.headless.discovery.impl	4.0.31		3d53c68292b3c9dd8c81021ed5419a3296192f4f
com.liferay	com.liferay.headless.discovery.impl	4.0.32		3d1e362d457a3c07fa00ce2087fb42123dc27431
com.liferay	com.liferay.headless.discovery.impl	4.0.33		cd244c96b880d83001237698f990809a4404fa80
com.liferay	com.liferay.headless.discovery.impl	4.0.34		0e45e45e5d1f8091a70c7cea651ae69ccd7b4f60
com.liferay	com.liferay.headless.discovery.impl	4.0.35		209b39229466659dc51167393eff4750a4a674e9
com.liferay	com.liferay.headless.discovery.impl	4.0.36		0ab9d440382b72cab745b5954f420b94a29719dc
com.liferay	com.liferay.headless.discovery.impl	4.0.37		b67d482f4f34feb3fa59234d82979c37943dbae7
com.liferay	com.liferay.headless.discovery.impl	4.0.4		cddb37d86d2a121a3c4b75707c30b826fecd1e44
com.liferay	com.liferay.headless.discovery.impl	4.0.5		1f9644e1205275dafa0626c42844bafd4217eaa3
